id;status;code;is_international;int_name;ru_name
110178;Данные в процессе проверки;E57;True;Hotel receptioning;Администрирование отеля
110190;Данные подтверждены;;;;
11072;Данные в процессе проверки;R99G;False;Oil and gas mining;Добыча нефти и газа - Навыки мудрых
11079;Данные в процессе проверки;33;True;Automobile Technology;Ремонт и обслуживание легковых автомобилей
111316;Данные в процессе проверки;;;;
111391;Данные подтверждены;;;;
111817;Данные подтверждены;F3;False;Virtual and augmented reality (VR/AR);Разработка виртуальной и дополненной реальности
112003;Данные в процессе проверки;R95;False;Manufacturing Process Engineer;Инженер-технолог машиностроения
112171;Данные в процессе проверки;R61;False;Underground Electrician;Электрослесарь подземный
112282;Данные в процессе проверки;;;;
112363;Данные подтверждены;31;True;Fashion Technology;Технологии моды
112902;Данные в процессе проверки;R8;False;Forest Machines;Машинист лесозаготовительных машин
113504;Данные подтверждены;R9;False;Tourism;Туризм
113803;Данные в процессе проверки;R25;False;Photography;Фотография
114336;Данные подтверждены;40;True;Graphic Design Technology;Графический дизайн
114351;Данные в процессе проверки;T45;False;;Машинист котлов
114527;Данные в процессе проверки;33;True;Automobile Technology;Ремонт и обслуживание легковых автомобилей
11492;Данные в процессе проверки;57;False;Interior Design;Дизайн интерьера
115316;Данные в процессе проверки;;;;
115352;Данные в процессе проверки;D2;True;3D Digital Game Art;3D Моделирование для компьютерных игр
115786;Данные подтверждены;05;True;Mechanical Engineering CAD;Инженерный дизайн CAD
115843;Данные в процессе проверки;D1;False;Physical Education, sport and fitness;Физическая культура, спорт и фитнес
116466;Данные подтверждены;R2;False;Medical Analysis Services;Лабораторный медицинский анализ
116562;Данные в процессе проверки;R41;False;;Бухгалтерский учет
116601;Данные в процессе проверки;;;;
116827;Данные в процессе проверки;14;True;Aircraft Maintenance;Обслуживание авиационной техники
116827;Данные в процессе проверки;W46;False;Sheet Metal Technology;Обработка листового металла
116833;Данные в процессе проверки;R60;False;Geospatial Technologies;Геопространственные технологии
116833;Данные в процессе проверки;D3;True;Freight forwarding;Экспедирование грузов
116833;Данные в процессе проверки;40;True;Graphic Design Technology;Графический дизайн
116833;Данные в процессе проверки;07;True;CNC Milling;Фрезерные работы на станках с ЧПУ
116833;Данные в процессе проверки;F1;False;Aerial Robotics;Эксплуатация беспилотных авиационных систем
116833;Данные в процессе проверки;57;False;Interior Design;Дизайн интерьера
116833;Данные в процессе проверки;R94;False;Engineering design;Инженерное проектирование
116833;Данные в процессе проверки;R34;False;;Архитектурный дизайн
116833;Данные в процессе проверки;06;True;CNC Turning;Токарные работы на станках с ЧПУ
116833;Данные в процессе проверки;05;True;Mechanical Engineering CAD;Инженерный дизайн CAD
116833;Данные в процессе проверки;R25;False;Photography;Фотография
117990;Данные подтверждены;R71;False;IT Software Solutions for Business on the “1C:Enterprise 8” platform;"ИТ-решения для бизнеса на платформе ""1С: Предприятие 8"""
118004;Данные в процессе проверки;R4;False;Preschool Education;Дошкольное воспитание
118420;Данные подтверждены;R27;False;Gem Cutting;Огранка ювелирных вставок
119297;Данные в процессе проверки;;;;
119651;Данные в процессе проверки;R9;False;Tourism;Туризм
119694;Данные в процессе проверки;;;;
120000;Данные в процессе проверки;;False;Без компетенции;Без компетенции
120308;Данные подтверждены;35;True;Restaurant Service;Ресторанный сервис
120396;Данные подтверждены;R11;True;Entrepreneurship;Предпринимательство
121255;Данные в процессе проверки;41;True;Health and Social Care;Медицинский и социальный уход
121255;Данные в процессе проверки;R2;False;Medical Analysis Services;Лабораторный медицинский анализ
121255;Данные в процессе проверки;R25;False;Photography;Фотография
121255;Данные в процессе проверки;R45;False;;Специалист по организационному и документационному обеспечению управления организации
121303;Данные подтверждены;R11;True;Entrepreneurship;Предпринимательство
12187;Данные подтверждены;33;True;Automobile Technology;Ремонт и обслуживание легковых автомобилей
122737;Данные в процессе проверки;;;;
123408;Данные подтверждены;R60;False;Geospatial Technologies;Геопространственные технологии
123627;Данные в процессе проверки;34;True;Cooking;Поварское дело
12369;Данные в процессе проверки;R16;False;Air Transport Service;Сервис на воздушном транспорте
123819;Данные в процессе проверки;R55;False;;Дорожное строительство
124167;Данные в процессе проверки;R4;False;Preschool Education;Дошкольное воспитание
124695;Данные в процессе проверки;R45;False;;Специалист по организационному и документационному обеспечению управления организации
125180;Данные в процессе проверки;R45;False;;Специалист по организационному и документационному обеспечению управления организации
125239;Данные подтверждены;R11;True;Entrepreneurship;Предпринимательство
1256;Данные в процессе проверки;;;;
12623;Данные подтверждены;10;True;Welding;Сварочные технологии
126783;Данные в процессе проверки;10J;False;Welding;Сварочные технологии - Юниоры
127117;Данные в процессе проверки;;;;
127473;Данные подтверждены;R9;False;Tourism;Туризм
12748;Данные подтверждены;R4;False;Preschool Education;Дошкольное воспитание
127523;Данные в процессе проверки;R99;False;Oil and gas mining;Добыча нефти и газа
127560;Данные в процессе проверки;;;;
127698;Данные в процессе проверки;;;;
128466;Данные в процессе проверки;R11;True;Entrepreneurship;Предпринимательство
128594;Данные в процессе проверки;R9J;False;Tourism;Туризм - Юниоры
128732;Данные в процессе проверки;R62;False;;Уход за больными
128826;Данные подтверждены;E57;True;Hotel receptioning;Администрирование отеля
129161;Данные подтверждены;R9;False;Tourism;Туризм
129248;Данные в процессе проверки;R80;False;;Строительство и ремонт инфраструктурных объектов железнодорожного транспорта
12956;Данные в процессе проверки;;;;
130316;Данные в процессе проверки;R99;False;Oil and gas mining;Добыча нефти и газа
130473;Данные подтверждены;17;True;Web Design and Development;Веб-дизайн и разработка
130636;Данные подтверждены;17;True;Web Design and Development;Веб-дизайн и разработка
130865;Данные подтверждены;17;True;Web Design and Development;Веб-дизайн и разработка
131074;Данные подтверждены;D2;True;3D Digital Game Art;3D Моделирование для компьютерных игр
131605;Данные подтверждены;R41;False;;Бухгалтерский учет
132405;Данные в процессе проверки;;;;
132865;Данные в процессе проверки;;;;
133091;Данные в процессе проверки;R92;False;Agronomy;Агрономия
133840;Данные в процессе проверки;R63;False;Social Work;Социальная работа
134096;Данные подтверждены;30;True;Beauty Therapy;Эстетическая косметология
13414;Данные в процессе проверки;;;;
134397;Данные подтверждены;R23;False;Internet of things;Интернет вещей
134440;Данные в процессе проверки;;;;
134846;Данные в процессе проверки;;;;
135002;Данные в процессе проверки;T48;False;;Банковское дело
13510;Данные в процессе проверки;18;True;Electrical Installations;Электромонтаж
135278;Данные в процессе проверки;R69;False;;Информационная безопасность автоматизированных систем
135795;Данные в процессе проверки;;;;
136493;Данные в процессе проверки;07;True;CNC Milling;Фрезерные работы на станках с ЧПУ
136551;Данные подтверждены;33;True;Automobile Technology;Ремонт и обслуживание легковых автомобилей
136637;Данные в процессе проверки;T47;False;;Экономика и бухгалтерский учет (по отраслям)
13673;Данные в процессе проверки;;;;
136779;Данные подтверждены;F3;False;Virtual and augmented reality (VR/AR);Разработка виртуальной и дополненной реальности
137007;Данные в процессе проверки;41J;False;Health and Social Care;Медицинский и социальный уход - Юниоры
138280;Данные подтверждены;R11;True;Entrepreneurship;Предпринимательство
138910;Данные в процессе проверки;T48;False;;Банковское дело
139182;Данные в процессе проверки;R90;False;Passenger Transport operation;Управление пассажирским транспортом
139182;Данные в процессе проверки;R75;False;Front loadear driver;Управление фронтальным погрузчиком
139206;Данные подтверждены;;;;
139617;Данные в процессе проверки;R99;False;Oil and gas mining;Добыча нефти и газа
140371;Данные подтверждены;R6;False;Chemical Laboratory Technology;Лабораторный химический анализ
14048;Данные в процессе проверки;;;;
140764;Данные подтверждены;R60;False;Geospatial Technologies;Геопространственные технологии
141953;Данные в процессе проверки;R94;False;Engineering design;Инженерное проектирование
141996;Данные в процессе проверки;;;;
142084;Данные подтверждены;D3;True;Freight forwarding;Экспедирование грузов
142175;Данные в процессе проверки;R71;False;IT Software Solutions for Business on the “1C:Enterprise 8” platform;"ИТ-решения для бизнеса на платформе ""1С: Предприятие 8"""
142476;Данные в процессе проверки;R26;False;Sound Engineering;Звукорежиссура
144578;Данные подтверждены;R4;False;Preschool Education;Дошкольное воспитание
144897;Данные в процессе проверки;R4;False;Preschool Education;Дошкольное воспитание
145020;Данные в процессе проверки;;False;Без компетенции;Без компетенции
145083;Данные в процессе проверки;D3;True;Freight forwarding;Экспедирование грузов
145643;Данные в процессе проверки;R27;False;Gem Cutting;Огранка ювелирных вставок
145951;Данные подтверждены;;;;
146467;Данные в процессе проверки;R70;False;;Педагог дополнительного образования
146467;Данные в процессе проверки;29J;False;Hairdressing;Парикмахерское искусство - Юниоры
146535;Данные подтверждены;R21;False;Primary School Teaching;Преподавание в младших классах
146546;Данные в процессе проверки;T8;False;Occupational Health and Safety;Охрана труда
146769;Данные в процессе проверки;;;;
146839;Данные в процессе проверки;;;;
146871;Данные в процессе проверки;;;;
147151;Данные подтверждены;R25;False;Photography;Фотография
147288;Данные подтверждены;18;True;Electrical Installations;Электромонтаж
147724;Данные подтверждены;;;;
147822;Данные подтверждены;17;True;Web Design and Development;Веб-дизайн и разработка
148108;Данные подтверждены;R91;False;Recruiting;Рекрутинг
148482;Данные в процессе проверки;02;True;Information Network Cabling;Информационные кабельные сети
148888;Данные в процессе проверки;18;True;Electrical Installations;Электромонтаж
149417;Данные в процессе проверки;;;;
15008;Данные подтверждены;09;True;IT Software Solutions for Business;Программные решения для бизнеса
150656;Данные в процессе проверки;18;True;Electrical Installations;Электромонтаж
150928;Данные в процессе проверки;;;;
151101;Данные в процессе проверки;R23;False;Internet of things;Интернет вещей
151126;Данные в процессе проверки;;;;
151783;Данные в процессе проверки;;;;
151940;Данные подтверждены;R92;False;Agronomy;Агрономия
152151;Данные подтверждены;29;True;Hairdressing;Парикмахерское искусство
152358;Данные в процессе проверки;R4;False;Preschool Education;Дошкольное воспитание
152367;Данные подтверждены;33;True;Automobile Technology;Ремонт и обслуживание легковых автомобилей
152408;Данные подтверждены;R6;False;Chemical Laboratory Technology;Лабораторный химический анализ
152815;Данные в процессе проверки;34;True;Cooking;Поварское дело
152815;Данные в процессе проверки;32;True;Patisserie and Confectionery;Кондитерское дело
153116;Данные в процессе проверки;R99;False;Oil and gas mining;Добыча нефти и газа
153269;Данные в процессе проверки;18;True;Electrical Installations;Электромонтаж
153603;Данные в процессе проверки;29;True;Hairdressing;Парикмахерское искусство
153821;Данные в процессе проверки;18;True;Electrical Installations;Электромонтаж
153927;Данные в процессе проверки;R13;False;;Дорожные машины
154417;Данные в процессе проверки;E57;True;Hotel receptioning;Администрирование отеля
154546;Данные подтверждены;R11;True;Entrepreneurship;Предпринимательство
154940;Данные в процессе проверки;;;;
156193;Данные подтверждены;R21;False;Primary School Teaching;Преподавание в младших классах
156466;Данные подтверждены;R2;False;Medical Analysis Services;Лабораторный медицинский анализ
156723;Данные в процессе проверки;39;True;IT Network Systems Administration;Сетевое и системное администрирование
156879;Данные в процессе проверки;T59;False;Process Systems of Power Facilities;Технологические системы энергетических объектов
156976;Данные подтверждены;R11;True;Entrepreneurship;Предпринимательство
157786;Данные в процессе проверки;R1J;False;Filmmaking;Видеопроизводство - Юниоры (14-16)
157866;Данные в процессе проверки;32;True;Patisserie and Confectionery;Кондитерское дело
158045;Данные в процессе проверки;R41;False;;Бухгалтерский учет
158079;Данные подтверждены;10;True;Welding;Сварочные технологии
158114;Данные в процессе проверки;;False;Без компетенции;Без компетенции
158444;Данные в процессе проверки;T74;False;;Вальщик леса
158517;Данные в процессе проверки;R61;False;Underground Electrician;Электрослесарь подземный
158528;Данные в процессе проверки;;;;
159016;Данные подтверждены;;;;
159143;Данные подтверждены;R50;False;Life-cycle Management/ Program Management;Управление жизненным циклом/управление программой
160175;Данные в процессе проверки;;;;
160213;Данные в процессе проверки;W46;False;Sheet Metal Technology;Обработка листового металла
160213;Данные в процессе проверки;14;True;Aircraft Maintenance;Обслуживание авиационной техники
160221;Данные подтверждены;09;True;IT Software Solutions for Business;Программные решения для бизнеса
160611;Данные в процессе проверки;17J;False;Web Design and Development;Веб-дизайн и разработка - Юниоры
160910;Данные в процессе проверки;34;True;Cooking;Поварское дело
160961;Данные в процессе проверки;R9;False;Tourism;Туризм
161429;Данные в процессе проверки;40;True;Graphic Design Technology;Графический дизайн
161429;Данные в процессе проверки;06;True;CNC Turning;Токарные работы на станках с ЧПУ
161429;Данные в процессе проверки;05;True;Mechanical Engineering CAD;Инженерный дизайн CAD
161429;Данные в процессе проверки;07;True;CNC Milling;Фрезерные работы на станках с ЧПУ
161429;Данные в процессе проверки;R25;False;Photography;Фотография
161429;Данные в процессе проверки;57;False;Interior Design;Дизайн интерьера
161429;Данные в процессе проверки;D3;True;Freight forwarding;Экспедирование грузов
161429;Данные в процессе проверки;F1;False;Aerial Robotics;Эксплуатация беспилотных авиационных систем
161429;Данные в процессе проверки;R34;False;;Архитектурный дизайн
161429;Данные в процессе проверки;R94;False;Engineering design;Инженерное проектирование
161429;Данные в процессе проверки;R60;False;Geospatial Technologies;Геопространственные технологии
161824;Данные подтверждены;09;True;IT Software Solutions for Business;Программные решения для бизнеса
161991;Данные в процессе проверки;T14;False;Advertising;Реклама
16222;Данные в процессе проверки;;;;
162599;Данные в процессе проверки;15;True;Plumbing and Heating;Сантехника и отопление
162599;Данные в процессе проверки;W46;False;Sheet Metal Technology;Обработка листового металла
162599;Данные в процессе проверки;10;True;Welding;Сварочные технологии
162599;Данные в процессе проверки;20;True;Bricklaying;Кирпичная кладка
162599;Данные в процессе проверки;25;True;Joinery;Столярное дело
162599;Данные в процессе проверки;E50;True;Floor Laying;Укладка напольных покрытий
162599;Данные в процессе проверки;R96;False;Nondestructive inspection;Неразрушающий контроль
162599;Данные в процессе проверки;T1;False;Gas Equipment Installation and Operation;Монтаж и эксплуатация газового оборудования
162599;Данные в процессе проверки;R29;False;;Логистика
162599;Данные в процессе проверки;R66;False;Roofing;Кровельные работы
162599;Данные в процессе проверки;R95;False;Manufacturing Process Engineer;Инженер-технолог машиностроения
162599;Данные в процессе проверки;R55;False;;Дорожное строительство
162599;Данные в процессе проверки;12;True;Wall and Floor Tiling;Облицовка плиткой
162599;Данные в процессе проверки;21;True;Plastering and Drywall Systems;Сухое строительство и штукатурные работы
162599;Данные в процессе проверки;R11;True;Entrepreneurship;Предпринимательство
162599;Данные в процессе проверки;42;True;Construction Metal Work;Производство металлоконструкций
162599;Данные в процессе проверки;22;True;Painting and Decorating;Малярные и декоративные работы
162646;Данные в процессе проверки;17;True;Web Design and Development;Веб-дизайн и разработка
162980;Данные в процессе проверки;;;;
163204;Данные в процессе проверки;;;;
163713;Данные подтверждены;31;True;Fashion Technology;Технологии моды
163717;Данные подтверждены;D3;True;Freight forwarding;Экспедирование грузов
163723;Данные подтверждены;41;True;Health and Social Care;Медицинский и социальный уход
164191;Данные в процессе проверки;32;True;Patisserie and Confectionery;Кондитерское дело
164276;Данные в процессе проверки;;;;
164361;Данные в процессе проверки;;;;
164512;Данные в процессе проверки;;;;
164546;Данные в процессе проверки;21;True;Plastering and Drywall Systems;Сухое строительство и штукатурные работы
164629;Данные в процессе проверки;R24;False;;Программирование
164661;Данные подтверждены;39;True;IT Network Systems Administration;Сетевое и системное администрирование
165028;Данные в процессе проверки;T41;False;Travel Agency Management;Турагентская деятельность
165093;Данные в процессе проверки;41G;False;Health and Social Care;Медицинский и социальный уход - Навыки мудрых
165245;Данные в процессе проверки;T69;False;Additional Education for Children and Adults;Дополнительное образование детей и взрослых
165488;Данные в процессе проверки;R45;False;;Специалист по организационному и документационному обеспечению управления организации
165488;Данные в процессе проверки;R63;False;Social Work;Социальная работа
165522;Данные подтверждены;17;True;Web Design and Development;Веб-дизайн и разработка
166;Данные подтверждены;R4;False;Preschool Education;Дошкольное воспитание
166298;Данные в процессе проверки;;;;
166328;Данные в процессе проверки;R63G;False;Social Work;Социальная работа  - Навыки мудрых
166343;Данные в процессе проверки;;;;
166734;Данные в процессе проверки;01;True;Polymechanics and Automation;Полимеханика и автоматизация
168132;Данные в процессе проверки;;;;
168176;Данные в процессе проверки;05;True;Mechanical Engineering CAD;Инженерный дизайн CAD
168193;Данные в процессе проверки;;;;
168279;Данные в процессе проверки;;;;
168362;Данные подтверждены;;;;
168530;Данные в процессе проверки;;False;Без компетенции;Без компетенции
168920;Данные в процессе проверки;D2;True;3D Digital Game Art;3D Моделирование для компьютерных игр
169052;Данные в процессе проверки;T23;False;Architecture;Архитектура
169244;Данные в процессе проверки;;;;
169645;Данные в процессе проверки;R94;False;Engineering design;Инженерное проектирование
169765;Данные подтверждены;29;True;Hairdressing;Парикмахерское искусство
169854;Данные в процессе проверки;;;;
169892;Данные в процессе проверки;T43;False;Apartment building operation and maintenance;Эксплуатация и обслуживание многоквартирного дома
170012;Данные в процессе проверки;29;True;Hairdressing;Парикмахерское искусство
170308;Данные в процессе проверки;09Y;False;IT Software Solutions for Business;Программные решения для бизнеса - Юниоры (12-14)
17051;Данные в процессе проверки;28;True;Floristry;Флористика
170726;Данные в процессе проверки;40G;False;Graphic Design Technology;Графический дизайн - навыки мудрых
170785;Данные в процессе проверки;D2;True;3D Digital Game Art;3D Моделирование для компьютерных игр
170999;Данные в процессе проверки;T21;False;Truck Driver;Водитель грузовика
171256;Данные в процессе проверки;R60;False;Geospatial Technologies;Геопространственные технологии
17169;Данные подтверждены;09;True;IT Software Solutions for Business;Программные решения для бизнеса
172074;Данные подтверждены;R4;False;Preschool Education;Дошкольное воспитание
17208;Данные в процессе проверки;18;True;Electrical Installations;Электромонтаж
1722;Данные подтверждены;R23;False;Internet of things;Интернет вещей
172894;Данные подтверждены;;;;
172989;Данные в процессе проверки;R41;False;;Бухгалтерский учет
173716;Данные в процессе проверки;17;True;Web Design and Development;Веб-дизайн и разработка
174101;Данные подтверждены;R19;False;Primary and secondary school teaching;Преподавание в основной и средней школе
174255;Данные подтверждены;R60;False;Geospatial Technologies;Геопространственные технологии
174515;Данные подтверждены;R6;False;Chemical Laboratory Technology;Лабораторный химический анализ
174610;Данные в процессе проверки;;;;
175019;Данные в процессе проверки;34;True;Cooking;Поварское дело
175246;Данные подтверждены;;;;
176761;Данные в процессе проверки;18;True;Electrical Installations;Электромонтаж
177266;Данные в процессе проверки;19;True;Industrial Control;Промышленная автоматика
177280;Данные в процессе проверки;D1;False;Physical Education, sport and fitness;Физическая культура, спорт и фитнес
177314;Данные в процессе проверки;R63G;False;Social Work;Социальная работа  - Навыки мудрых
177610;Данные в процессе проверки;57;False;Interior Design;Дизайн интерьера
177951;Данные подтверждены;D3;True;Freight forwarding;Экспедирование грузов
178011;Данные подтверждены;R11;True;Entrepreneurship;Предпринимательство
178033;Данные в процессе проверки;33;True;Automobile Technology;Ремонт и обслуживание легковых автомобилей
178417;Данные в процессе проверки;;;;
178458;Данные в процессе проверки;R65;False;;Оптометрия
178581;Данные подтверждены;E57;True;Hotel receptioning;Администрирование отеля
17867;Данные в процессе проверки;23;True;Mobile Robotics;Мобильная робототехника
178882;Данные в процессе проверки;R88;False;Cable Power Line Maintenance;Эксплуатация кабельных линий электропередачи
178943;Данные подтверждены;;;;
179652;Данные в процессе проверки;;;;
179769;Данные подтверждены;R56;False;Veterinary Medicine;Ветеринария
179875;Данные в процессе проверки;R4;False;Preschool Education;Дошкольное воспитание
18021;Данные подтверждены;40;True;Graphic Design Technology;Графический дизайн
180569;Данные в процессе проверки;R70;False;;Педагог дополнительного образования
180731;Данные подтверждены;39;True;IT Network Systems Administration;Сетевое и системное администрирование
181257;Данные в процессе проверки;;;;
181297;Данные подтверждены;R71;False;IT Software Solutions for Business on the “1C:Enterprise 8” platform;"ИТ-решения для бизнеса на платформе ""1С: Предприятие 8"""
181692;Данные в процессе проверки;T10;False;Internet marketing;Интернет-маркетинг
181757;Данные в процессе проверки;;;;
181811;Данные подтверждены;R50;False;Life-cycle Management/ Program Management;Управление жизненным циклом/управление программой
181892;Данные подтверждены;R4;False;Preschool Education;Дошкольное воспитание
181994;Данные в процессе проверки;R92;False;Agronomy;Агрономия
182944;Данные в процессе проверки;R76;False;RU;Спасательные работы
183446;Данные подтверждены;R6;False;Chemical Laboratory Technology;Лабораторный химический анализ
183641;Данные в процессе проверки;R41;False;;Бухгалтерский учет
183783;Данные подтверждены;05;True;Mechanical Engineering CAD;Инженерный дизайн CAD
183789;Данные в процессе проверки;30;True;Beauty Therapy;Эстетическая косметология
184041;Данные в процессе проверки;;;;
184121;Данные подтверждены;T3;False;Document Support of Management and Archive Science;Документационное обеспечение управления и архивоведение
184677;Данные подтверждены;34;True;Cooking;Поварское дело
185011;Данные в процессе проверки;17;True;Web Design and Development;Веб-дизайн и разработка
185061;Данные в процессе проверки;R29;False;;Логистика
185182;Данные в процессе проверки;R21;False;Primary School Teaching;Преподавание в младших классах
185625;Данные в процессе проверки;D1;False;Physical Education, sport and fitness;Физическая культура, спорт и фитнес
186088;Данные подтверждены;;;;
1861;Данные в процессе проверки;R57;False;Music Teaching;Преподавание музыки в школе
186202;Данные в процессе проверки;R11;True;Entrepreneurship;Предпринимательство
186646;Данные подтверждены;R71;False;IT Software Solutions for Business on the “1C:Enterprise 8” platform;"ИТ-решения для бизнеса на платформе ""1С: Предприятие 8"""
186989;Данные в процессе проверки;;;;
188406;Данные подтверждены;R50;False;Life-cycle Management/ Program Management;Управление жизненным циклом/управление программой
188569;Данные подтверждены;40;True;Graphic Design Technology;Графический дизайн
188569;Данные подтверждены;31;True;Fashion Technology;Технологии моды
188631;Данные подтверждены;R67;False;Train Driving;Управление локомотивом
18880;Данные в процессе проверки;D2J;False;3D Digital Game Art;3D Моделирование для компьютерных игр - Юниоры
189301;Данные в процессе проверки;R45;False;;Специалист по организационному и документационному обеспечению управления организации
189932;Данные в процессе проверки;R29;False;;Логистика
190308;Данные в процессе проверки;R41;False;;Бухгалтерский учет
190537;Данные в процессе проверки;;;;
190811;Данные подтверждены;;;;
192152;Данные в процессе проверки;18;True;Electrical Installations;Электромонтаж
192472;Данные в процессе проверки;;;;
192563;Данные в процессе проверки;34J;False;Cooking;Поварское дело - Юниоры (14-16)
193269;Данные подтверждены;33;True;Automobile Technology;Ремонт и обслуживание легковых автомобилей
193303;Данные подтверждены;T3;False;Document Support of Management and Archive Science;Документационное обеспечение управления и архивоведение
193465;Данные в процессе проверки;R25;False;Photography;Фотография
194002;Данные подтверждены;32;True;Patisserie and Confectionery;Кондитерское дело
194093;Данные в процессе проверки;D1;False;Physical Education, sport and fitness;Физическая культура, спорт и фитнес
194219;Данные в процессе проверки;;;;
194228;Данные в процессе проверки;R25;False;Photography;Фотография
194228;Данные в процессе проверки;D1;False;Physical Education, sport and fitness;Физическая культура, спорт и фитнес
194463;Данные в процессе проверки;R40;False;;Банковский клиентский менеджер
194968;Данные подтверждены;05;True;Mechanical Engineering CAD;Инженерный дизайн CAD
195364;Данные в процессе проверки;;;;
195740;Данные подтверждены;31;True;Fashion Technology;Технологии моды
195823;Данные в процессе проверки;R41;False;;Бухгалтерский учет
196019;Данные в процессе проверки;R4;False;Preschool Education;Дошкольное воспитание
196225;Данные в процессе проверки;R41;False;;Бухгалтерский учет
196265;Данные в процессе проверки;10J;False;Welding;Сварочные технологии - Юниоры
196407;Данные в процессе проверки;40J;False;Graphic Design Technology;Графический дизайн - Юниоры
19646;Данные в процессе проверки;R67;False;Train Driving;Управление локомотивом
196564;Данные подтверждены;31;True;Fashion Technology;Технологии моды
196844;Данные в процессе проверки;;;;
196968;Данные в процессе проверки;R4;False;Preschool Education;Дошкольное воспитание
197358;Данные в процессе проверки;;;;
197405;Данные в процессе проверки;39;True;IT Network Systems Administration;Сетевое и системное администрирование
197953;Данные подтверждены;18;True;Electrical Installations;Электромонтаж
19804;Данные в процессе проверки;T8;False;Occupational Health and Safety;Охрана труда
198506;Данные в процессе проверки;;;;
198813;Данные подтверждены;R92;False;Agronomy;Агрономия
198872;Данные в процессе проверки;R9;False;Tourism;Туризм
199405;Данные подтверждены;;;;
199443;Данные в процессе проверки;;;;
19992;Данные подтверждены;R67;False;Train Driving;Управление локомотивом
200305;Данные в процессе проверки;10;True;Welding;Сварочные технологии
200847;Данные в процессе проверки;;;;
201204;Данные в процессе проверки;R4;False;Preschool Education;Дошкольное воспитание
20139;Данные в процессе проверки;D1;False;Physical Education, sport and fitness;Физическая культура, спорт и фитнес
201860;Данные в процессе проверки;R11J;False;Entrepreneurship;Предпринимательство - Юниоры
202747;Данные в процессе проверки;34;True;Cooking;Поварское дело
203029;Данные в процессе проверки;45;True;Prototype Modelling;Изготовление прототипов
203281;Данные в процессе проверки;R71;False;IT Software Solutions for Business on the “1C:Enterprise 8” platform;"ИТ-решения для бизнеса на платформе ""1С: Предприятие 8"""
203656;Данные в процессе проверки;;;;
203883;Данные в процессе проверки;R21;False;Primary School Teaching;Преподавание в младших классах
203885;Данные подтверждены;39;True;IT Network Systems Administration;Сетевое и системное администрирование
204747;Данные в процессе проверки;R41;False;;Бухгалтерский учет
204861;Данные в процессе проверки;;;;
20513;Данные в процессе проверки;32;True;Patisserie and Confectionery;Кондитерское дело
205400;Данные подтверждены;R21;False;Primary School Teaching;Преподавание в младших классах
205651;Данные подтверждены;F3;False;Virtual and augmented reality (VR/AR);Разработка виртуальной и дополненной реальности
205738;Данные подтверждены;06;True;CNC Turning;Токарные работы на станках с ЧПУ
205827;Данные в процессе проверки;;;;
206031;Данные в процессе проверки;33;True;Automobile Technology;Ремонт и обслуживание легковых автомобилей
206747;Данные подтверждены;R10;False;Rescue Service;Спасательные работы
2073;Данные в процессе проверки;R21;False;Primary School Teaching;Преподавание в младших классах
207538;Данные в процессе проверки;40;True;Graphic Design Technology;Графический дизайн
